name,code,pop
China,CHN,139717.77
United States,USA,102664.29
Russia,RUS,32714.22
India,IND,29819.9
Japan,JPN,24944.21
Germany,DEU,14827.88
South Korea,KOR,11832.48
Canada,CAN,10541.88
United Kingdom,GBR,9013.75
South Africa,ZAF,8213.55
Australia,AUS,7817.05
Mexico,MEX,7661.98
Indonesia,IDN,7594.42
Saudi Arabia,SAU,7528.68
Italy,ITA,6992.44
Brazil,BRA,6349.0
Poland,POL,6111.97
France,FRA,5963.96
Taiwan,TWN,5416.64
Turkey,TUR,5378.51
Spain,ESP,5200.43
Thailand,THA,4681.37
Kazakhstan,KAZ,3933.17
Malaysia,MYS,3670.55
Netherlands,NLD,3634.47
Singapore,SGP,2782.78
Argentina,ARG,2602.79
Czech Republic,CZE,2380.21
Viet Nam,VNM,2303.22
Belgium,BEL,1959.8
Greece,GRC,1906.76
Romania,ROU,1772.61
Philippines,PHL,1706.92
Denmark,DNK,1606.74
Chile,CHL,1444.27
Hong Kong,HKG,1360.33
Israel,ISR,1293.31
Finland,FIN,1257.36
Norway,NOR,1237.75
Austria,AUT,1153.3
Colombia,COL,1148.13
Portugal,PRT,1067.65
Bulgaria,BGR,1036.42
Sweden,SWE,1001.66
Hungary,HUN,914.15
Ireland,IRL,845.34
Switzerland,CHE,819.65
Morocco,MAR,813.37
Slovakia,SVK,707.94
Peru,PER,653.1
New Zealand,NZL,650.6
Tunisia,TUN,401.96
Estonia,EST,384.84
Croatia,HRV,349.7
Burma,MMR,269.8
Slovenia,SVN,257.94
Lithuania,LTU,203.38
Cyprus,CYP,170.76
Latvia,LVA,161.24
Brunei Darussalam,BRN,160.06
Luxembourg,LUX,137.17
Costa Rica,CRI,100.92
Lao People's Democratic Republic,LAO,87.99
Iceland,ISL,79.06
Malta,MLT,72.21
Cambodia,KHM,70.27
